class,accuracy,rare
bear,0.020,1
boy,0.030,1
beaver,0.050,1
bed,0.050,1
bowl,0.060,1
bus,0.060,1
butterfly,0.080,1
squirrel,0.080,0
cattle,0.100,1
camel,0.110,1
caterpillar,0.110,1
aquarium_fish,0.150,1
otter,0.150,0
seal,0.150,0
woman,0.150,0
bee,0.160,1
beetle,0.160,1
bicycle,0.160,1
baby,0.170,1
lizard,0.170,0
bridge,0.180,1
can,0.190,1
man,0.200,0
mouse,0.200,0
snake,0.220,0
wolf,0.220,0
shrew,0.230,0
snail,0.240,0
crocodile,0.250,0
kangaroo,0.250,0
turtle,0.250,0
castle,0.260,1
possum,0.270,0
rabbit,0.270,0
flatfish,0.280,0
table,0.290,0
tulip,0.300,0
tiger,0.310,0
couch,0.320,0
leopard,0.320,0
girl,0.330,0
mushroom,0.330,0
raccoon,0.340,0
lobster,0.350,0
shark,0.350,0
spider,0.350,0
sweet_pepper,0.350,0
train,0.360,0
bottle,0.370,1
crab,0.370,0
dinosaur,0.370,0
hamster,0.370,0
ray,0.370,0
clock,0.380,0
house,0.380,0
willow_tree,0.380,0
forest,0.390,0
dolphin,0.400,0
fox,0.400,0
lamp,0.400,0
pine_tree,0.400,0
porcupine,0.410,0
apple,0.440,1
rose,0.440,0
maple_tree,0.450,0
television,0.450,0
lion,0.460,0
whale,0.460,0
telephone,0.470,0
cup,0.480,0
elephant,0.480,0
tractor,0.480,0
pear,0.490,0
streetcar,0.490,0
trout,0.490,0
worm,0.500,0
orchid,0.510,0
pickup_truck,0.510,0
keyboard,0.530,0
palm_tree,0.530,0
plate,0.540,0
chimpanzee,0.560,0
poppy,0.560,0
sea,0.600,0
rocket,0.610,0
cloud,0.620,0
mountain,0.620,0
lawn_mower,0.630,0
tank,0.630,0
oak_tree,0.640,0
motorcycle,0.650,0
cockroach,0.660,0
chair,0.710,0
skunk,0.710,0
wardrobe,0.730,0
skyscraper,0.740,0
plain,0.750,0
orange,0.760,0
road,0.760,0
sunflower,0.790,0
