cat,n,d_succ,d_grasp,h_lo,h_hi
apple,60,0.11536732676407777,0.15184276766736957,0.06100263157894738,0.06619545454545454
avocado,50,-0.11788690683451625,-0.09563323512343198,0.055053333333333336,0.0686
banana,48,0.02558550532395449,-0.029433403270687344,0.03401481481481481,0.04088095238095238
bar_soap,49,0.07133150953082451,0.23688552274452038,0.0326,0.0369
beer,45,-0.0295218333684083,-0.016569677214665124,0.1848875,0.1919809523809524
bell_pepper,57,0.02675922507308018,-0.11137853426999984,0.05560000000000002,0.0644
blender_jug,44,-0.12188105413105416,-0.07560612535612535,0.1989653846153846,0.22336111111111112
bottled_drink,66,-0.18637639553429025,-0.23029984051036684,0.16113636363636366,0.16670000000000001
bottled_water,121,0.09628579375814049,0.13192924272319628,0.16455909090909093,0.17812363636363637
bowl,41,0.03714623289843735,0.042851021368022484,0.09076363636363637,0.11696315789473685
boxed_drink,55,-0.069615186210005,-0.07295223661530088,0.10057741935483874,0.1371
broccoli,64,0.16269632984321294,0.1499833712328849,0.07100000000000002,0.07759999999999999
can,59,0.03826219101419989,0.020901937210595356,0.10394848484848485,0.11120000000000002
canned_food,269,0.06598661649979448,-0.0007342194267246915,0.055770779220779214,0.08688000000000001
cheese,64,-0.07861877717846304,-0.057086344552427865,0.05500232558139534,0.05888571428571429
cheese_grater,296,-0.08127572127837185,-0.07271135754777103,0.20796923076923077,0.24669212598425203
chicken_drumstick,70,0.175847805123244,0.10258606310749757,0.032794736842105265,0.0526625
colander,141,0.0696870228445478,0.03456412758096773,0.09639726027397261,0.14514264705882352
corn,92,-0.0734972247001685,-0.05845703691689419,0.0484,0.0645
cream_cheese_stick,292,0.11524196089472125,0.1047768940913463,0.01634251497005988,0.0366
cucumber,67,0.07181911688568907,0.04841533949890375,0.04326206896551725,0.0495
cup,60,-0.11844663392932095,-0.09581148745068414,0.105,0.11500000000000005
dish_brush,37,-0.1707207276460872,-0.08500346948796927,0.07506,0.1532
egg,33,0.2707377006447417,0.12553014454074116,0.04769999999999999,0.057599999999999985
eggplant,86,-0.17140963145593086,-0.04433379429877929,0.0572761904761905,0.11260000000000002
fish,51,-0.09572302594133483,-0.08190857459224091,0.033806249999999996,0.09214736842105263
